 minimum eigenvalues =   1.358243135721741E-005   2.11065408151136     
   3.06178652542353     
 maximum eigenvalues =    2479.41058422081        633.932803650868     
   208.683575636238     
 num eigs kept =           64
 iter    41 lrate =  0.0500000000 LL =  -2.6138340960 nd =  0.0079583409, D =   0.11939E+00  0.11939E+00  (  1.14 s,   0.6 h)
 iter    42 lrate =  0.0500000000 LL =  -2.6135865683 nd =  0.0079399265, D =   0.12128E+00  0.12128E+00  (  0.67 s,   0.4 h)
 iter    43 lrate =  0.0500000000 LL =  -2.6133409718 nd =  0.0079228784, D =   0.12319E+00  0.12319E+00  (  0.66 s,   0.4 h)
 iter    44 lrate =  0.0500000000 LL =  -2.6130972589 nd =  0.0079063658, D =   0.12514E+00  0.12514E+00  (  0.65 s,   0.4 h)
 iter    45 lrate =  0.0500000000 LL =  -2.6128552986 nd =  0.0078909821, D =   0.12714E+00  0.12714E+00  (  0.67 s,   0.4 h)
 iter    46 lrate =  0.0500000000 LL =  -2.6126149977 nd =  0.0078746157, D =   0.12919E+00  0.12919E+00  (  0.69 s,   0.4 h)
 iter    47 lrate =  0.0500000000 LL =  -2.6123764093 nd =  0.0078595754, D =   0.13129E+00  0.13129E+00  (  0.67 s,   0.4 h)
 iter    48 lrate =  0.0500000000 LL =  -2.6121391262 nd =  0.0078448954, D =   0.13345E+00  0.13345E+00  (  0.65 s,   0.4 h)
 iter    49 lrate =  0.0500000000 LL =  -2.6119033668 nd =  0.0078314028, D =   0.13568E+00  0.13568E+00  (  0.67 s,   0.4 h)
 iter    50 lrate =  0.0500000000 LL =  -2.6116684734 nd =  0.0077342907, D =   0.13798E+00  0.13798E+00  (  0.67 s,   0.4 h)
 iter    51 lrate =  0.1000000000 LL =  -2.6112508300 nd =  0.0076511983, D =   0.13878E+00  0.13878E+00  (  1.14 s,   0.6 h)
 iter    52 lrate =  0.2000000000 LL =  -2.6104623751 nd =  0.0074496606, D =   0.14066E+00  0.14066E+00  (  0.68 s,   0.4 h)
 iter    53 lrate =  0.3000000000 LL =  -2.6093468487 nd =  0.0071285240, D =   0.14420E+00  0.14420E+00  (  0.67 s,   0.4 h)
 iter    54 lrate =  0.4000000000 LL =  -2.6079667696 nd =  0.0067045021, D =   0.15028E+00  0.15028E+00  (  0.66 s,   0.4 h)
 iter    55 lrate =  0.5000000000 LL =  -2.6063985003 nd =  0.0062174794, D =   0.16007E+00  0.16007E+00  (  0.68 s,   0.4 h)
 iter    56 lrate =  0.6000000000 LL =  -2.6047179643 nd =  0.0057129122, D =   0.17491E+00  0.17491E+00  (  0.67 s,   0.4 h)
 iter    57 lrate =  0.7000000000 LL =  -2.6029904928 nd =  0.0052271746, D =   0.19565E+00  0.19565E+00  (  0.69 s,   0.4 h)
 iter    58 lrate =  0.8000000000 LL =  -2.6012790224 nd =  0.0047913411, D =   0.22256E+00  0.22256E+00  (  0.71 s,   0.4 h)
 iter    59 lrate =  0.9000000000 LL =  -2.5996444458 nd =  0.0043878189, D =   0.25486E+00  0.25486E+00  (  0.74 s,   0.4 h)
 iter    60 lrate =  1.0000000000 LL =  -2.5981403399 nd =  0.0040382286, D =   0.28984E+00  0.28984E+00  (  0.72 s,   0.4 h)
 iter    61 lrate =  1.0000000000 LL =  -2.5968746274 nd =  0.0037281020, D =   0.32139E+00  0.32139E+00  (  1.25 s,   0.7 h)
 iter    62 lrate =  1.0000000000 LL =  -2.5957931894 nd =  0.0034261378, D =   0.34834E+00  0.34834E+00  (  0.73 s,   0.4 h)
 iter    63 lrate =  1.0000000000 LL =  -2.5948679061 nd =  0.0031206083, D =   0.37060E+00  0.37060E+00  (  0.70 s,   0.4 h)
 iter    64 lrate =  1.0000000000 LL =  -2.5940895441 nd =  0.0028392431, D =   0.38853E+00  0.38853E+00  (  0.72 s,   0.4 h)
 iter    65 lrate =  1.0000000000 LL =  -2.5934443781 nd =  0.0026061655, D =   0.40267E+00  0.40267E+00  (  0.78 s,   0.4 h)
 iter    66 lrate =  1.0000000000 LL =  -2.5929042296 nd =  0.0024168172, D =   0.41358E+00  0.41358E+00  (  0.79 s,   0.4 h)
 iter    67 lrate =  1.0000000000 LL =  -2.5924383979 nd =  0.0022592708, D =   0.42166E+00  0.42166E+00  (  0.96 s,   0.5 h)
 iter    68 lrate =  1.0000000000 LL =  -2.5920300671 nd =  0.0021320049, D =   0.42727E+00  0.42727E+00  (  0.79 s,   0.4 h)
 iter    69 lrate =  1.0000000000 LL =  -2.5916638617 nd =  0.0020310683, D =   0.43068E+00  0.43068E+00  (  0.80 s,   0.4 h)
 iter    70 lrate =  1.0000000000 LL =  -2.5913281282 nd =  0.0019451382, D =   0.43205E+00  0.43205E+00  (  0.92 s,   0.5 h)
 iter    71 lrate =  1.0000000000 LL =  -2.5910154723 nd =  0.0018744501, D =   0.43142E+00  0.43142E+00  (  1.34 s,   0.7 h)
 iter    72 lrate =  1.0000000000 LL =  -2.5907187644 nd =  0.0018149227, D =   0.42883E+00  0.42883E+00  (  0.76 s,   0.4 h)
 iter    73 lrate =  1.0000000000 LL =  -2.5904322666 nd =  0.0017676907, D =   0.42429E+00  0.42429E+00  (  0.78 s,   0.4 h)
 iter    74 lrate =  1.0000000000 LL =  -2.5901511793 nd =  0.0017337690, D =   0.41774E+00  0.41774E+00  (  0.94 s,   0.5 h)
 iter    75 lrate =  1.0000000000 LL =  -2.5898724103 nd =  0.0017080256, D =   0.40910E+00  0.40910E+00  (  0.74 s,   0.4 h)
 iter    76 lrate =  1.0000000000 LL =  -2.5895905761 nd =  0.0016909807, D =   0.39818E+00  0.39818E+00  (  0.83 s,   0.4 h)
 iter    77 lrate =  1.0000000000 LL =  -2.5893016896 nd =  0.0016899646, D =   0.38478E+00  0.38478E+00  (  0.74 s,   0.4 h)
 iter    78 lrate =  1.0000000000 LL =  -2.5890008823 nd =  0.0017005913, D =   0.36854E+00  0.36854E+00  (  0.72 s,   0.4 h)
 iter    79 lrate =  1.0000000000 LL =  -2.5886803764 nd =  0.0017399473, D =   0.34900E+00  0.34900E+00  (  0.73 s,   0.4 h)
 iter    80 lrate =  1.0000000000 LL =  -2.5883282950 nd =  0.0018211665, D =   0.32540E+00  0.32540E+00  (  0.81 s,   0.4 h)
 iter    81 lrate =  1.0000000000 LL =  -2.5879247648 nd =  0.0019669323, D =   0.29670E+00  0.29670E+00  (  1.27 s,   0.7 h)
 iter    82 lrate =  1.0000000000 LL =  -2.5874385684 nd =  0.0022057392, D =   0.26166E+00  0.26166E+00  (  0.74 s,   0.4 h)
 iter    83 lrate =  1.0000000000 LL =  -2.5868310580 nd =  0.0025027856, D =   0.21994E+00  0.21994E+00  (  0.71 s,   0.4 h)
 iter    84 lrate =  1.0000000000 LL =  -2.5861046050 nd =  0.0026994088, D =   0.17508E+00  0.17508E+00  (  0.71 s,   0.4 h)
 iter    85 lrate =  1.0000000000 LL =  -2.5853648231 nd =  0.0025390242, D =   0.13616E+00  0.13616E+00  (  0.71 s,   0.4 h)
 iter    86 lrate =  1.0000000000 LL =  -2.5848004273 nd =  0.0020271126, D =   0.11216E+00  0.11216E+00  (  0.80 s,   0.4 h)
 iter    87 lrate =  1.0000000000 LL =  -2.5844627299 nd =  0.0016482324, D =   0.10231E+00  0.10231E+00  (  0.81 s,   0.4 h)
 iter    88 lrate =  1.0000000000 LL =  -2.5842481714 nd =  0.0014651132, D =   0.99054E-01  0.99054E-01  (  0.72 s,   0.4 h)
 iter    89 lrate =  1.0000000000 LL =  -2.5840863443 nd =  0.0013776235, D =   0.98156E-01  0.98156E-01  (  0.80 s,   0.4 h)
 iter    90 lrate =  1.0000000000 LL =  -2.5839481969 nd =  0.0013239846, D =   0.98057E-01  0.98057E-01  (  0.80 s,   0.4 h)
 iter    91 lrate =  1.0000000000 LL =  -2.5838238127 nd =  0.0012827791, D =   0.98226E-01  0.98226E-01  (  1.26 s,   0.7 h)
